"","gene","fitness","variance","d6toinput","normd7toinputA","normd6toinputA","norminput","normd6toinputB","normd6toinputC","normd6toinputD","day4abs","day5absmax","day6abs","lower","upper","input","file","experiment"
"1","PBANKA_140160",0.631901518540207,0.00689670171906398,0.496482430946892,0.0618719670422386,0.097733113967587,1.34718309859155,0.18827573051531,0.153515477337691,0.247592115906785,0.0073015183242323,0.00350567498017592,0.00180462675583144,0.536007815451395,0.72779522162902,0.0034182994273053,"./countfiles//inv1.csv","inv1"
"2","PBANKA_031480",1.02776054046876,0.00346112788373879,6.96674489090258,1.51818444161264,1.37141141350582,8.35070422535211,2.64192426939835,2.15416115606965,3.47426414512111,0.112571839251988,0.141279241866726,0.143472093345705,0.959827947567277,1.09569313337024,0.0211888105640283,"./countfiles//inv1.csv","inv1"
"3","PBANKA_082870",0.13174289582064,0.0124018477891979,NA,8.76864206882153e-05,NA,7.67253521126761,NA,NA,NA,0.00326873073442578,0.000699021161086706,4.47956996128372e-05,0.00315130569024394,0.260334485951036,0.0194680461372144,"./countfiles//inv1.csv","inv1"
"4","PBANKA_103780",0.977045180273773,0.00196364116760734,5.07998170519308,1,1,1,1.92642721460559,1.57076216141649,2.53334930051343,0.0109379514203101,0.014688314668895,0.0111647948463614,0.92587694575785,1.0282134147897,0.00253736810599766,"./countfiles//inv1.csv","inv1"
"5","PBANKA_123730",0.962753728780663,0.00395811773193766,2.04676225962383,0.430559074181996,0.402907407625406,20.3401408450704,0.776171795015772,0.632871710452397,1.0207051992795,0.0821981915729304,0.142892176456989,0.0929596092108491,0.890107391576023,1.0354000659853,0.051610424651782,"./countfiles//inv1.csv","inv1"
"6","PBANKA_146060",1.04146356206574,0.00329419579399665,5.21962061839302,1.16355116721391,1.02748807403326,7.75,1.97938098850035,1.61393938799815,2.60298619363804,0.0797102314375969,0.105278024609989,0.113702151260146,0.975189426396824,1.10773769773466,0.0196646028214819,"./countfiles//inv1.csv","inv1"
"7","PBANKA_051500",1.00760417204516,0.00545826006170034,3.23408713933625,0.635702545739917,0.636633619375078,0.848591549295775,1.22642833009701,1,1.61281533432718,0.00560626717635626,0.00795447916149008,0.00524749624036093,0.922294852025206,1.09291349206512,0.00215318913220224,"./countfiles//inv1.csv","inv1"
"8","PBANKA_113780",0.0140154830752656,0.000489856466638905,0.00213908487909882,0.000316888649163569,0.00042108121706661,8.07605633802817,0.000811182316116363,0.000661418442651435,0.00106674580671504,0.000477535534612969,0.00195107827864336,8.31920135666976e-05,-0.0115411590265157,0.0395721251770469,0.0204919277743529,"./countfiles//inv1.csv","inv1"
"9","PBANKA_110420",0.555191439370719,0.0037053882428597,1.27177714530513,0.145196012064086,0.250350733351075,0.744366197183099,0.482282465923979,0.393241459030737,0.634225855217968,0.00475147856939905,0.00451362405768105,0.00283066158982071,0.484902623353188,0.62548025538825,0.00188873104791516,"./countfiles//inv1.csv","inv1"
"10","PBANKA_020460",0.30416058601486,0.05705592768818,NA,0.000966402217869067,NA,8.14929577464789,NA,NA,NA,0.000532452121093461,0.000688514750104454,4.05294425068527e-05,0.0283443967675526,0.579976775262168,0.020677763184933,"./countfiles//inv1.csv","inv1"
"11","PBANKA_052170",0.0561185682709546,0.00975303506843079,0.000881011602469232,0.000190069971945533,0.000173428105374593,9.38450704225352,0.000334096621971103,0.000272414305648563,0.000439353969440094,0.00149468622333859,NA,2.34644140829147e-05,-0.0579167190654998,0.170153855607409,0.0238119488595245,"./countfiles//inv1.csv","inv1"
"12","PBANKA_051520",1.02052363430675,0.00439371947906018,1.93814584309608,0.433104687538479,0.381526146268359,7.71619718309859,0.734982351254961,0.599286834149391,0.966538995776529,0.0311090524023619,0.0502772016550477,0.0460841092588445,0.943984150125398,1.0970631184881,0.0195788326319833,"./countfiles//inv1.csv","inv1"
"13","PBANKA_030670",0.265676138044178,0.00467826862214,0.00732933218297188,0.000861922760796705,0.00144278712174876,18.6507042253521,0.00277942437621929,0.00226627541782196,0.003655083745672,0.00318038666052238,0.00222980374702099,6.61269851427596e-05,0.186697080717652,0.344655195370704,0.0473237020558042,"./countfiles//inv1.csv","inv1"
"14","PBANKA_110690",1.04589461951237,0.0123809337751088,0.273025981681431,0.0681927615870105,0.0537454655402255,8.82535211267606,0.103536727478338,0.0844213436183,0.136156037532099,0.00263360847339053,0.00983641623867543,0.0039078915090818,0.917411501165464,1.17437773785928,0.0223931669749033,"./countfiles//inv1.csv","inv1"
"15","PBANKA_102010",0.074627271032465,0.00555175231355581,0.00125673614905516,2.30143790467793e-05,0.000247389896654636,10.012676056338,0.000476578629533956,0.000388590688781838,0.000626725021644111,0.00219188810387353,0.000309745903715067,2.5597542635907e-05,-0.011409560720421,0.160664102785351,0.0254058448810385,"./countfiles//inv1.csv","inv1"
"16","PBANKA_041600",0.0751573422141258,0.00631307149233568,NA,0.000472781954141091,NA,10.9105633802817,NA,NA,NA,0.00210115635229707,0.000347417702815548,4.26625710598449e-06,-0.0165892035325538,0.166903887960805,0.0276841155395928,"./countfiles//inv1.csv","inv1"
"17","PBANKA_111530",0.192056219288158,0.00942292110852634,0.00866650836009544,0.000600703724507945,0.00170601172662413,8.23943661971831,0.003286507418605,0.00267973866711399,0.00432192361431094,0.00303951367781155,0.000635552077019496,0.000270907326230015,0.0799674383537199,0.304145000222596,0.0209064836902624,"./countfiles//inv1.csv","inv1"
"18","PBANKA_082490",0.452295021262015,0.022101994450987,0.0457875381601489,0.00614098656370362,0.00901332737347104,9.9669014084507,0.0173635191464042,0.0141577935867078,0.0228339065968814,0.00799633252709417,0.00339674055222672,0.0017342335135827,0.280628699769856,0.623961342754174,0.025289697749426,"./countfiles//inv1.csv","inv1"
"19","PBANKA_142310",0.944934942807023,0.00388351971690998,2.95398514021819,0.610468671977745,0.581495232000233,9.00352112676056,1.12020824008864,0.913390707470069,1.47313053923968,0.0708543349481993,0.0887837846597281,0.0678228223423885,0.872976438867507,1.01689344674654,0.0228452473487184,"./countfiles//inv1.csv","inv1"
"20","PBANKA_072150",0.391278195620394,0.0540166626383784,NA,0.0134266358123851,NA,9.00140845070423,NA,NA,NA,0.00108161798589838,0.00547403855918379,0.000622873537473736,0.122908642855608,0.65964774838518,0.0228398867118747,"./countfiles//inv1.csv","inv1"
"21","PBANKA_103440",0.743280589620975,0.00689517569667684,0.594489935273988,0.100446921526831,0.117025999260246,0.935211267605634,0.225442069791352,0.183820011539948,0.296467733367828,0.00563014395308691,0.00369392918957496,0.00216725860984012,0.647397496243836,0.839163682998114,0.00237297524279218,"./countfiles//inv1.csv","inv1"
"22","PBANKA_081700",0.707834792254323,0.0310551545215805,0.132141262280726,0.0276246482685665,0.0260121531826862,8.44366197183098,0.0501105198016163,0.0408589059563331,0.0658978700702063,0.00820644816232388,0.00599066680005414,0.00430252029138536,0.504348004733755,0.911321579774891,0.0214246785851492,"./countfiles//inv1.csv","inv1"
"23","PBANKA_091170",0.0539573740956262,0.0430056042190599,NA,0.000102175069065665,NA,7.83169014084507,NA,NA,NA,0.000823748797207372,0.000635552077019496,NA,-0.185502028779711,0.293416776970964,0.0198718807794366,"./countfiles//inv1.csv","inv1"
"24","p230p-tag",0.980327449748717,0.00459757975575081,2.0052432975443,0.427618103380441,0.394734354160057,1.07253521126761,0.760427002393697,0.620033787325794,1,0.00210354402997013,0.00837040670151095,0.0048976631576702,0.902032454116805,1.05862244538063,0.00272141663762988,"./countfiles//inv1.csv","inv1"
